filename,title,authors,publicationYear,publishedIn,doi,abstract
1702.05747v2.pdf,A Survey on Deep Learning in Medical Image Analysis,Geert  Litjens; Thijs  Kooi; Babak  Ehteshami Bejnordi; Arnaud  Arindra; Adiyoso  Setio; Francesco  Ciompi; Mohsen  Ghafoorian; Jeroen A W M Van Der Laak; Bram  Van Ginneken,2012,Invest Ophthalmol Vis Sci,10.1109/TMI.2015.2476509,"Deep learning algorithms, in particular convolutional networks, have rapidly become a methodology of choice for analyzing medical images. This paper reviews the major deep learning concepts pertinent to medical image analysis and summarizes over 300 contributions to the field, most of which appeared in the last year. We survey the use of deep learning for image classification, object detection, segmentation, registration, and other tasks. Concise overviews are provided of studies per application area: neuro, retinal, pulmonary, digital pathology, breast, cardiac, abdominal, musculoskeletal. We end with a summary of the current state-of-the-art, a critical discussion of open challenges and directions for future research."
document (5).pdf,Machine learning applied in maternal and fetal health: a narrative review focused on pregnancy diseases and complications,Daniela  Mennickent; Andrés  Rodríguez; Ma. Cecilia Opazo; Claudia A Riedel; Erica  Castro; Alma  Eriz-Salinas; Javiera  Appel-Rubio; Claudio  Aguayo; Alicia E Damiano; Enrique  Guzmán-Gutiérrez; Juan  Araya,2023,Frontiers in Endocrinology,10.3389/fendo.2023.1130139,"Introduction: Machine learning (ML) corresponds to a wide variety of methods that use mathematics, statistics and computational science to learn from multiple variables simultaneously. By means of pattern recognition, ML methods are able to find hidden correlations and accomplish accurate predictions regarding different conditions. ML has been successfully used to solve varied problems in different areas of science, such as psychology, economics, biology and chemistry. Therefore, we wondered how far it has penetrated into the field of obstetrics and gynecology."
application-of-machine-and-deep-learning-algorithms-in-intelligent-clinical-decision-support-systems-in-healthcare-2157-7420-1000321.pdf,Application of Machine and Deep Learning Algorithms in Intelligent Clinical Decision Support Systems in Healthcare,Jong Taek Kim,2018,Journal of Health &amp; Medical Informatics,10.4172/2157-7420.1000321,Objective: The purpose of this paper is to review the PubMed/MEDLINE literature for articles that discuss the use of machine learning (ML) and deep learning (DL) for clinical decision support systems (CDSSs).
document (7).pdf,Machine learning of big data in gaining insight into successful treatment of hypertension,Gideon  Koren; Galia  Nordon; Kira  Radinsky; Varda  Shalev,2018,Pharmacology Research &amp; Perspectives,10.1002/prp2.396,"Despite effective medications, rates of uncontrolled hypertension remain high."
document (2).pdf,Machine learning for personalized medicine: Tailoring treatment strategies through data analysis,Pradeep  Verma; Nikhil  Mishra; Vishal  Srivastava,2019,The Pharma Innovation,10.22271/tpi.2019.v8.i3sa.25249,"Personalized medicine, a paradigm shift in healthcare, has gained momentum with the advent of advanced technologies, particularly in the realm of machine learning. This review paper explores the transformative role of machine learning in tailoring treatment strategies for individuals, revolutionizing the field of healthcare by leveraging the power of data analysis. The integration of patient-specific data, encompassing genomics, clinical history, and other omics data, forms the foundation for the development of personalized treatment plans. The review begins by providing a comprehensive overview of the current landscape of personalized medicine, emphasizing the limitations of traditional one-size-fits-all approaches. The discussion then delves into the key concepts of machine learning, elucidating how algorithms can extract meaningful patterns from vast and diverse datasets. Noteworthy machine learning techniques, such as deep learning, ensemble methods, and reinforcement learning, are scrutinized for their efficacy in predicting individual patient responses to diverse treatment modalities. Crucial to the success of personalized medicine is the identification of relevant biomarkers, which serve as integral components in treatment decision-making. The review highlights the pivotal role of machine learning in biomarker discovery, showcasing its ability to discern subtle patterns and relationships within multidimensional datasets. Keywords such as ""feature selection,"" ""dimensionality reduction,"" and ""precision medicine"" underscore the pivotal techniques that drive these discoveries."
PIIS0022522315015767.pdf,Large clinical databases for the study of lung cancer: Making up for the failure of randomized trials,Chi-Fu Jeffrey  Yang; Matthew G Hartwig; Thomas A D'amico; Mark F Berry,2016,The Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2015.08.110,"Although randomized controlled trials (RCTs) represent the optimal study design for assessing the efficacy of clinical interventions, the practice of thoracic surgery has historically been significantly influenced by case series and singleinstitution observational cohort studies 1 because of the well-described difficulties of performing RCTs. 2 Researchers in the United States and Europe are increasingly using large-scale, population-based administrative databases 3-5 and clinical registries 6-10 to perform retrospective cohort studies to answer questions regarding the efficacy, cost, and complications of interventions, to study quality improvement, to assess the treatment of rare conditions, and to evaluate national practice patterns. These studies can significantly enhance quantitative evidence regarding lung cancer treatment when performed by investigators who have clinical expertise in lung cancer with a thorough understanding of both the advantages and limitations of the database being used, through collaboration with experts in advanced statistical techniques."
nihms-1629483.pdf,Sharpening the resolution on data matters: a brief roadmap for understanding deep learning for medical data,Allen  Schmaltz; Andrew L Beam,2022,The Spine Journal,10.1016/j.spinee.2020.08.012,"Statistics has historically been the workhorse for analyzing clinical trials, building prediction models, and analyzing most types of medical data. However, recently large amounts of available healthcare data and increasing computing power have enabled techniques from the field of machine learning to play an ever larger role in clinical applications. The fields of machine learning and statistics in fact have many things in common, but they can appear at first glance to be quite different given the way each community describes its goals and techniques (Beam and Kohane 2018). This false sense of difference is further heightened because much of the recent work in machine learning has been described under the umbrella term of ""artificial intelligence"" (AI). It should be noted that AI refers to a goal (i.e. computers that behave ""intelligently"") and does not in itself describe a method to achieve that goal. Much of the recent and rapid progress towards the goal of medical AI has been enabled by advancements in the subfield of machine learning known as deep learning (LeCun, Bengio, and Hinton 2015;Hinton 2018;Schmidhuber 2015). However, beyond the AI hyperbole, the successes afforded by the use of deep learning to date have been more modest and narrow in high-risk settings, such as medicine, but are nonetheless likely to expand in coming years (Topol 2019; Ghassemi et al. 2018), though many challenges remain (Beam, Manrai, and Ghassemi 2020). The relevant literature stretches multiple decades and is rapidly growing, and we provide here a high-level overview of deep learning, with an emphasis on medical applications and natural language data. We offer a key insight for applications of deep learning in medicine, a dichotomy that presents both challenges and opportunities for real-world applications: Deep learning models can amplify biases and other issues in the underlying data, but those same models can be leveraged to uncover data issues and patterns that might not be readily discoverable via more parsimonious models."
document.pdf,Machine Learning Techniques for Personalised Medicine Approaches in Immune-Mediated Chronic Inflammatory Diseases: Applications and Challenges,Junjie  Peng; Elizabeth C Jury; Pierre  Dönnes; Coziana  Ciurtin,2021,Frontiers in Pharmacology,10.3389/fphar.2021.720694,"In the past decade, the emergence of machine learning (ML) applications has led to significant advances towards implementation of personalised medicine approaches for improved health care, due to the exceptional performance of ML models when utilising complex big data. The immune-mediated chronic inflammatory diseases are a group of complex disorders associated with dysregulated immune responses resulting in inflammation affecting various organs and systems. The heterogeneous nature of these diseases poses great challenges for tailored disease management and addressing unmet patient needs. Applying novel ML techniques to the clinical study of chronic inflammatory diseases shows promising results and great potential for precision medicine applications in clinical research and practice. In this review, we highlight the clinical applications of various ML techniques for prediction, diagnosis and prognosis of autoimmune rheumatic diseases, inflammatory bowel disease, autoimmune chronic kidney disease, and multiple sclerosis, as well as ML applications for patient stratification and treatment selection. We highlight the use of ML in drug development, including target identification, validation and drug repurposing, as well as challenges related to data interpretation and validation, and ethical concerns related to the use of artificial intelligence in clinical research."
19.pdf,Artificial Intelligence In Healthcare: A Review Of Deep Learning Models For Medical Image Analysis,S  Jayasankari; S D Govardhan; Neha Pradyumna Bora; Ramesh  Kumar; V  Saravanan,2017,Medical Image Analysis,10.1016/j.media.2017.07.005,"The rapid advancements in Artificial Intelligence (AI) have revolutionized various sectors, with healthcare being a major beneficiary. Specifically, deep learning (DL) models have emerged as a transformative force in medical image analysis, enabling enhanced diagnostic accuracy, early disease detection, and personalized treatment planning. This review paper provides a comprehensive analysis of the current state of deep learning models employed in medical image analysis. We examine the architectural advancements, applications, challenges, and future directions, with a focus on how these models are reshaping healthcare delivery. The paper also explores the potential of deep learning in improving healthcare accessibility and outcomes, providing insights into the integration of AI in clinical practice."
2a6e29fe6eeb4715b8662b55e915f37f.marked_rFmbXVp.pdf,Deep learning methods for cancer recognition,Yiwei  Shen,2024,Applied and Computational Engineering,10.54254/2755-2721/74/20240452,"Modern medical technology has been advancing continuously, and deep learning, a potent machine learning technique, demonstrates significant potential in the domain of cancer identification and diagnosis. This paper through methods of lieterature review, examines the distinctive abilities and advancements of deep learning in the recognition, classification, and segmentation of breast and lung cancer images. Deep learning has proven to be very suitable for medical image analysis and has the ability to aid and even autonomously make decisions in many stages of cancer diagnosis, including history taking, imaging, and biopsy. Furthermore, it possesses the capability to precisely identify, categorize, and divide photos pertaining to breast and lung cancer. Additionally, it has the capacity to identify and predict tumors based on gene expression profiles, so enhancing the efficacy of contemporary medicine in the identification and prevention of cancer. These findings have significant implications for cancer detection and treatment in contemporary healthcare, offering clinicians a potent tool to enhance diagnostic precision and treatment effectiveness."
